5
Dairy
5
1,Milkk,   10,10,05,24,5
2,Cheese,  8,10,05,24,6
3,Yogurt, 12,20,05,24,8
4,Butter,  6,10,05,24,7
5,Cream,  15,30,05,24,10
Pulses
5
6,Lentils,20,10,05,24,10
7,Chicks, 15,15,06,24,8
8,BBeans, 18,20,07,24,9
9,KdBeans,25,25,08,24,12
10,GrnPeas,30,30,09,24,15
Bath&Cleaning
5
11,Shampoo,15,10,05,24,8
12,Soaps,   25,15,06,24,10
13,Tpaste, 20,20,07,24,12
14,TClner, 10,25,08,24,6
15,DLiquid,30,30,09,24,15
ReadyToEat
5
16,INoodl, 40,10,05,24,20
17,CSoup,  20,15,05,24,10
18,FzPzza, 12,20,05,24,8
19,MwpCorn,25,25,05,24,15
20,PkSalad,15,30,09,24,10
Vegetables
5
21,Carrots,30,10,05,24,20
22,Spinach,25,15,06,24,15
23,Tomatos,35,20,07,24,25
24,Brocoli,20,25,08,24,15
25,BPepprs,18,30,09,24,12
